Engine_Id,AEP,AEGHG,EngineType
1,23.5,14100,ICE
2,23.5,17625,ICE
3,23.5,17625,ICE
4,23.5,17625,ICE
5,23.5,18800,ICE
6,23.5,18800,ICE
7,23.5,17625,ICE
8,23.5,17625,ICE
9,23.5,5222,ICE
10,23.5,17625,ICE
11,23.5,17625,ICE
12,23.5,17625,ICE
13,23.5,17625,ICE
14,23.5,17625,ICE
15,23.5,17625,ICE
16,23.5,18800,ICE
17,23.5,18800,ICE
18,23.5,14100,ICE
19,23.5,14100,ICE
20,23.5,14100,ICE
21,23.5,18800,ICE
22,23.5,18800,ICE
23,23.5,14100,ICE
24,23.5,18800,ICE
25,23.5,18800,ICE
26,23.5,18800,ICE
27,23.5,14100,ICE
28,23.5,18800,ICE
29,23.5,9400,ICE
30,23.5,9400,ICE
31,23.5,18800,ICE
32,23.5,17625,ICE
33,23.5,5222,ICE
34,23.5,9400,ICE
35,23.5,14100,ICE
36,23.5,17625,ICE
37,23.5,14100,ICE
38,23.5,17625,ICE
39,23.5,17625,ICE
40,23.5,17625,ICE
41,23.5,17625,ICE
42,23.5,17625,ICE
43,23.5,14100,ICE
44,23.5,17625,ICE
45,23.5,17625,ICE
46,23.5,17625,ICE
47,23.5,17625,ICE
48,23.5,17625,ICE
49,23.5,17625,ICE
50,23.5,17625,ICE
51,23.5,17625,ICE
52,23.5,17625,ICE
53,23.5,17625,ICE
54,23.5,17625,ICE
55,23.5,9400,ICE
56,23.5,14100,ICE
57,23.5,17625,ICE
58,23.5,17625,ICE
59,23.5,17625,ICE
60,23.5,17625,ICE
61,23.5,17625,ICE
62,23.5,17625,ICE
63,23.5,17625,ICE
64,23.5,17625,ICE
65,23.5,5222,ICE
66,23.5,17625,ICE
67,23.5,17625,ICE
68,23.5,17625,ICE
69,23.5,18800,ICE
70,23.5,17625,ICE
71,23.5,18800,ICE
72,23.5,17625,ICE
73,23.5,17625,ICE
74,23.5,17625,ICE
75,23.5,17625,ICE
76,23.5,17625,ICE
77,23.5,17625,ICE
78,23.5,17625,ICE
79,23.5,16588,ICE
80,23.5,16588,ICE
81,23.5,16588,ICE
82,23.5,16588,ICE
83,23.5,16588,ICE
84,23.5,16588,ICE
85,23.5,16588,ICE
86,23.5,17625,ICE
87,23.5,17625,ICE
88,23.5,17625,ICE
89,23.5,17625,ICE
90,23.5,17625,ICE
91,23.5,17625,ICE
92,23.5,17625,ICE
93,23.5,17625,ICE
94,23.5,17625,ICE
95,23.5,17625,ICE
96,23.5,17625,ICE
97,23.5,18800,ICE
98,23.5,14100,ICE
99,0.32,3840,Zero
100,0.32,3840,Zero
101,0.32,3840,Zero
