Vehicle_Id,Year,Department,Model,Vehicle_Type
1,2017,Move Team,Ford F350 Box truck,C
2,2006,Bldg. Services,"Ford, Club wagon",C
3,2003,Bldg. Services,"Ford, Club wagon",C
4,2002,Bldg. Services,"Dodge, Ram wagon",C
5,1999,Bldg. Services,"Ford, F250 truck",C
6,2002,Bldg. Services,"Ford, P/U",C
7,2007,Move Team,"Chev, 12 pas van",C
8,2000,Move Team,Ford club wagon,C
9,2020,Access Control,Carry All 700,C
10,2007,Access Control,Dodge mini van,C
11,2006,Access Control,Ford van,C
12,2002,Access Control,Dodge van,C
13,2014,Mailing/Receiving,Chev. Exp Van,C
14,2004,Mailing/Receiving,Ford E350,C
15,2006,Mailing/Receiving,Ford E350,C
16,2019,Grounds,Ford F250,C
17,2019,Grounds,Ford F250,C
18,2018,Grounds,Ford F350 Mini-Dump,C
19,2016,Grounds EXT,Ford F350 Rack body,C
20,2015,Grounds,Ford F450 Dump,C
21,2014,Grounds,Ford F250,C
22,2014,Grounds EXT,Ford F150,C
23,2012,Grounds,Ford F350 6.2L,C
24,2011,Grounds,Chevy Colorado,C
25,2008,Grounds,Ford Ranger,C
26,2006,Grounds,"Ford, P/U",C
27,2005,Grounds EXT,"Dodge 2500, Ram P/U",C
28,2004,Grounds,"Ford, P/U",C
29,2012,Grounds Sup,Ford Escape,C
30,2007,"Grounds, auto",Ford Crown Vic,C
31,2010,Carpenter,Chevy 1500 PU,C
32,2009,Carpenter,Ford van,C
33,2019,Carpenter,CarryAll 700,C
34,2006,Carpenter Sup,Ford Crown Vic,C
35,2020,Carpenter/Roof,Ford F250 W/ Utility,C
36,2016,Const. Shop,Ford Transit Cargo,C
37,2017,Const. Shop,F-250,C
38,2006,Const. Shop,Ford E150 van,C
39,2014,Const. Shop,Chevy van,C
40,2008,Paint,Ford van,C
41,2006,Mason,Ford van,C
42,2009,Const. Shop,Ford E150,C
43,2008,Electric Shop,"Ford, aerial",C
44,2006,Electric Shop,Ford van,C
45,2005,Electric Shop,"Dodge, Caravan",C
46,2010,Electric Shop,Dodge Caravan,C
47,2003,Electric Shop,"Dodge, caravan",C
48,2016,HVAC Shop,Ford Transit Cargo,C
49,2010,HVAC Shop,Chevy 1500 van,C
50,2009,HVAC Shop,Ford E150,C
51,2009,HVAC Shop,Ford E150,C
52,2008,HVAC Shop,"Ford, E150 van",C
53,2006,HVAC Shop,"Ford, Club wagon",C
54,2006,HVAC Shop,"Ford, E150 van",C
55,2011,HVAC Shop PH,Ford Escape,C
56,2020,Plumbing Shop,Ford F250 Utility,C
57,2016,Plumbing Shop,Ford Transit Cargo,C
58,2008,Plumbing Shop,Ford E150,C
59,2006,Plumbing Shop,Ford E150,C
60,2000,Plumbing Shop,Ford E150,C
61,2009,Plumbing Shop,Ford E150,C
62,2006,Plumbing Shop,Ford E150,C
63,2017,Repair,Ford Transit Connect XL,C
64,2014,Repair,Chevy Exp. van,C
65,2019,Repair,CarryAll 700,C
66,2006,HVAC Shop,"Ford, E150 van",C
67,2019,Information Tech.,Chevy Express Cargo,C
68,2018,Information Tech.,Ford Transit High Top,C
69,2004,Telecommunications,Ford Ranger,C
70,2002,Telecommunications,Dodge Caravan,C
71,1994,Biology,Mazda B3000,C
72,2010,School of Ed,Dodge Grand Caravan,C
73,2019,Bonner Center,Chev Express pass van,C
74,2017,Bonner Center,Chev 12 pass van,C
75,2017,Bonner Center,Chev 12 pass van,C
76,2006,Bonner Center,Ford Econ.van,C
77,2006,Bonner Center,"Ford,Econ.Van",C
78,2003,Bonner Center,Ford club wagon,C
79,2018,Campus PD,Ford Explorer,C
80,2018,Campus PD,Ford Explorer,C
81,2017,Campus PD,Ford Explorer,C
82,2016,Campus PD,Ford Taurus,C
83,2015,Campus PD,Ford Taurus,C
84,2014,Campus PD,Ford Taurus,C
85,2014,Campus PD,Ford Taurus,C
86,2018,Admissions,Grand Caravan,C
87,2018,Fleet Loaner,Grand Caravan,C
88,2014,Fleet Loaner,Dodge Caravan,C
89,2014,Admissions,Dodge Caravan,C
90,2018,Athletics,Chevy Express van,C
91,2010,Athletics,Chevy 2500 van,C
92,2010,Athletics,Chevy 2500 van,C
93,2010,Athletics,Chevy 2500 van,C
94,2010,Athletics,Chevy 2500 van,C
95,2007,Athletics,Chev.12 pas van,C
96,2007,Athletics,Chev.12 pas van,C
97,2017,Athletics,Ford F-250,C
98,2032,Move Team,NULL,P
99,2022,Bldg. Services,NULL,P
100,2022,Bldg. Services,NULL,P
101,2022,Bldg. Services,NULL,P
102,2022,Bldg. Services,NULL,P
103,2022,Move Team,NULL,P
104,2022,Move Team,NULL,P
105,2030,Access Control,NULL,P
106,2022,Access Control,NULL,P
107,2022,Access Control,NULL,P
108,2022,Access Control,NULL,P
109,2029,Mailing/Receiving,NULL,P
110,2022,Mailing/Receiving,NULL,P
111,2034,Grounds,NULL,P
112,2034,Grounds,NULL,P
113,2033,Grounds,NULL,P
114,2031,Grounds EXT,NULL,P
115,2030,Grounds,NULL,P
116,2029,Grounds,NULL,P
117,2039,Grounds EXT,NULL,P
118,2027,Grounds,NULL,P
119,2026,Grounds,NULL,P
120,2023,Grounds,NULL,P
